"Entity1";"Entity2";"ClickstreamEnt1Ent2";"PopularityEnt1";"PopularityEnt2";"PageRankEnt1";"PageRankEnt2";"PageViewEnt1";"PageViewEnt2";"PopularityDiff";"PopularitySum";"CosineSimilarityEnt1Ent2";"DBpediaRelatednessEnt1Ent2";"PalmaInterestingnessEnt1Ent2";"PalmaInterestingness2Ent1Ent2";"PalmaInterestingness3Ent1Ent2";"PalmaInterestingness4Ent1Ent2";"PalmaInterestingness5Ent1Ent2";"PalmaInterestingness6Ent1Ent2";"PalmaInterestingness7Ent1Ent2"
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Linus_Pauling";303;1350920.3;354923.71;0.2197598183;0.0799805677;296878;28387;995996.59;1705844.01;0.21;0.35;0.45254219;0.15;0.02;0.05;0.11;0.16;0.11
"http://dbpedia.org/resource/Giacomo_Casanova";"http://dbpedia.org/resource/Venice";47;5197519.76;744939.19;0.0081156017;0.1423874612;42181;106070;4452580.57;5942458.95;0.37;0.49;0.301926939;0.32;0.06;0.12;0.27;0.12;0.14
"http://dbpedia.org/resource/Radiation";"http://dbpedia.org/resource/Marie_Curie";47;107750.79;1350920.3;0.3544753523;0.2197598183;38195;296878;1243169.51;1458671.09;0.22;0.34;0.4102205502;0.22;0.04;0.08;0.16;0.14;0.11
"http://dbpedia.org/resource/Linus_Pauling";"http://dbpedia.org/resource/Marie_Curie";729;354923.71;1350920.3;0.0799805677;0.2197598183;28387;296878;995996.59;1705844.01;0.21;0.35;0.45254219;0.13;0.02;0.05;0.1;0.16;0.11
"http://dbpedia.org/resource/Ernest_Rutherford";"http://dbpedia.org/resource/Marie_Curie";37;44846.67;1350920.3;0.9;0.2197598183;40362;296878;1306073.64;1395766.97;0.27;0.22;0.0844422819;0.22;0.06;0.07;0.13;0.16;0.1
"http://dbpedia.org/resource/Mileva_Marić";"http://dbpedia.org/resource/Marie_Curie";128;34580;1350920.3;0.9;0.2197598183;31122;296878;1316340.3;1385500.3;0.25;0.37;0.3743999208;0.19;0.03;0.07;0.15;0.15;0.11
"http://dbpedia.org/resource/Hendrik_Lorentz";"http://dbpedia.org/resource/Marie_Curie";16;166350411.4;1350920.3;0.0001051876;0.2197598183;17498;296878;164999491.1;167701331.7;0.2;0.35;0.6286970788;0.32;0.04;0.11;0.23;0.17;0.1
"http://dbpedia.org/resource/UNESCO";"http://dbpedia.org/resource/Marie_Curie";24;370180.7;1350920.3;0.3184066591;0.2197598183;117868;296878;980739.6;1721101;0.22;0.69;0.7803248269;0.55;0.07;0.2;0.36;0.15;0.15
"http://dbpedia.org/resource/Satyendra_Nath_Bose";"http://dbpedia.org/resource/Marie_Curie";26;135284.54;1350920.3;0.1884324763;0.2197598183;25492;296878;1215635.77;1486204.84;0.21;0.36;0.4664411617;0.28;0.04;0.1;0.2;0.16;0.11
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Heinrich_Zangger";19;2747813.11;1702.72;0.1535068007;0.1256813728;421808;214;2746110.4;2749515.83;0.56;0.43;0.0480778187;0.59;0.15;0.18;0.39;0.09;0.16
