"Entity1";"Entity2";"ClickstreamEnt1Ent2";"PopularityEnt1";"PopularityEnt2";"PageRankEnt1";"PageRankEnt2";"PageViewEnt1";"PageViewEnt2";"PopularityDiff";"PopularitySum";"CosineSimilarityEnt1Ent2";"DBpediaSimilarityEnt1Ent2";"DBpediaRelatednessEnt1Ent2";"PalmaInterestingnessEnt1Ent2";"PalmaInterestingness2Ent1Ent2";"PalmaInterestingness3Ent1Ent2";"PalmaInterestingness4Ent1Ent2";"PalmaInterestingness5Ent1Ent2";"Perceived_Relatedness";"Subjective_Knowledge";"Serendipity"
"Bharat_Ane_Nenu";"Jayalalita";45;193163.27;4262.22;0.145540091;0.9;28113;3836;188901.05;197425.49;0.01;0;0.48;39.87;0.53;0.09;0.21;0.46;0.2;0.2;0.3
"Burning_Man";"Dana_Harrison";21;646663.65;154.44;0.0994612885;0.9;64318;139;646509.21;646818.1;0.49;0;0.37;7.43;0.67;0.17;0.2;0.45;0.6;0.4;0.7
"Manuel_Noriega";"Dignity_Battalions";18;72456.95;707.35;0.7336218036;0.8864020197;53156;627;71749.6;73164.31;0.65;0;0.2;0.82;1.21;0.29;0.27;0.52;0.7;0.4;0.4
"KB_Mashinostroyeniya";"Active_protection_system";13;11257.91;55555.63;0.1064140478;0.1596777863;1198;8871;44297.72;66813.54;0.1;0;0;7.85;0.22;0.05;0.04;0.09;0.6;0.3;0.3
"Kiichi_Miyazawa";"George_H._W._Bush";39;9995.72;4885963.4;0.4434899727;0.1469720382;4433;718100;4875967.69;4895959.12;0.17;0.53;0.58;7.14;0.85;0.13;0.17;0.38;0.6;0.5;0.6
"Operation_Sangaris";"Dassault_Rafale";12;5775.08;418043.77;0.1859715338;0.2201755112;1074;92043;412268.69;423818.84;0.2;0;0.34;20.09;0.37;0.06;0.13;0.27;0.6;0.5;0.2
"Rivers_of_Jammu_and_Kashmir";"Rambi_Ara";42;43694.85;2874.76;0.0651335309;0.0956602135;2846;275;40820.09;46569.61;0.45;0;0.07;2.14;0.91;0.22;0.19;0.42;0.6;0.5;0.3
"Oscilloscope_(company)";"Not_Your_Typical_Bigfoot_Movie";32;22289.19;15969.61;0.1043555186;0.0137761678;2326;220;6319.58;38258.8;0.01;0;0;23.3;0.02;0;0;0.06;0.6;0.4;0.2
"Fuji_Rock_Festival";"Mount_Naeba";27;20530.88;1697.24;0.1188453888;0.1443517353;2440;245;18833.63;22228.12;0.09;0.11;0.43;13.54;0.4;0.08;0.14;0.31;0.4;0.3;0.5
"Ranulf_Flambard";"Battle_of_Tinchebray";24;3596.42;17773.07;0.5569429324;0.1236140107;2003;2197;14176.65;21369.48;0.34;0.1;0.16;1.39;0.46;0.11;0.09;0.18;0.5;0.2;0.3
"Lokanathan_IAS";"Gayatri_Jayaraman";75;3942.04;24298.99;0.1669184923;0.1717767013;658;4174;20356.94;28241.03;0.01;0.14;0.4;11.93;0.57;0.06;0.15;0.33;0.5;0.2;0.3
"Abdul_Carter";"Wyndmoor,_Pennsylvania";54;13543140.99;7925.72;0.0006348601;0.1684389959;8598;1335;13535215.27;13551066.71;0.18;0;0.18;11.87;0.2;0.07;0.08;0.14;0.5;0.5;0.2
"The_Arts_Club";"Dover_Street";11;11687.74;1203.71;0.0996770835;0.7277514085;1165;876;10484.03;12891.45;0.39;0.1;0.16;0.63;0.57;0.14;0.11;0.23;0.8;0.6;0.4
"Herbie_Armstrong";"Yellow_Dog_(band)";10;1670.87;3905.3;0.2735095091;0.2478681883;457;968;2234.43;5576.18;0.35;0;0.05;1.54;0.71;0.17;0.14;0.31;0.6;0.2;0.5
"Bill_Janklow";"Mark_V._Meierhenry";10;7733.33;16759.54;0.9;0.0062054212;6960;104;9026.21;24492.87;0.41;0;0.14;1.8;0.75;0.18;0.16;0.36;0.5;0.3;0.2
"Port_Royale_2";"Ascaron";13;434168.76;1237.78;0.001308247;0.9;568;1114;432930.98;435406.54;0.31;0.15;0.19;3.05;0.31;0.07;0.06;0.11;0.8;0.5;0.5
"Lal_Baadshah";"Jack_Gaud";42;20644.74;8010.35;0.2065417148;0.8822331894;4264;7067;12634.39;28655.09;0.01;0.18;0;0.37;0.2;0.09;0.07;0.14;0.6;0.3;0.2
"United_States_Constabulary";"Ernest_N._Harmon";14;25930.39;1597.78;0.0814873859;0.9;2113;1438;24332.62;27528.17;0.29;0.09;0.14;2.42;0.38;0.09;0.08;0.14;0.6;0.4;0.4
"Alms_for_Jihad";"Rachel_Ehrenfeld";11;8792.56;4805.29;0.0325275142;0.0780390502;286;375;3987.27;13597.84;0.3;0.18;0.11;1.38;0.34;0.06;0.07;0.13;0.4;0.3;0.3
"Danny_Alexander";"Colonsay";16;3672.22;9063.96;0.9;0.3169697628;3305;2873;5391.73;12736.18;0.26;0.15;0.41;8.18;0.29;0.05;0.1;0.19;0.6;0.4;0.4
"Fiacre_Kelleher";"Blackrock,_Cork";35;243880.22;10365.8;0.0602836927;0.0978216828;14702;1014;233514.42;254246.02;0.08;0;0.28;20.55;0.31;0.05;0.11;0.21;0.7;0.4;0.4
"Did_I_Shave_My_Legs_for_This?";"How_Do_I_Get_There";13;10.13;11454.46;0.0986808799;0.0207779281;1;238;11444.33;11464.6;0.01;0;0;29.69;0.02;0;0;0.06;0.7;0.3;0.7
"James_Botham";"Mason_Grady";11;43420.75;7215.44;0.7423639012;0.351745703;32234;2538;36205.31;50636.19;0.39;0;0.02;5.77;0.83;0.2;0.17;0.37;0.4;0.3;0.4
"Slowly_I_Turned";"Joey_Faye";29;296920.7;4893.61;0.0077832228;0.2204918038;2311;1079;292027.1;301814.31;0.24;0.12;0.32;8.28;0.22;0.05;0.07;0.14;0.6;0.6;0.4
"USS_Salt_Lake_City_(CA-25)";"Pensacola-class_cruiser";308;102014.37;30895.66;0.0254670003;0.1130256012;2598;3492;71118.71;132910.03;0.37;0.07;0.18;1.28;0.54;0.14;0.11;0.23;0.6;0.4;0.4
"Trolley_pole";"Charles_Joseph_Van_Depoele";14;53844.58;1112.57;0.0414340681;0.203133637;2231;226;52732.01;54957.15;0.29;0.15;0.27;5.71;0.18;0.06;0.05;0.11;0.4;0.2;0.7
"FULRO_insurgency";"Y_Bham_Enuol";53;23834.5;6839.59;0.0767794611;0.0888941967;1830;608;16994.91;30674.09;0.35;0;0.15;2.44;0.6;0.15;0.13;0.28;0.5;0.3;0.3
"Chimera_Linux";"Musl";14;25760.63;5330;0.0712327421;0.9;1835;4797;20430.63;31090.63;0.44;0;0;8.15;0.97;0.23;0.2;0.44;0.7;0.6;0.3
"Year_of_the_Cat_(album)";"Andrew_Powell";22;207678.68;6166.07;0.0235411739;0.3199770112;4889;1973;201512.62;213844.75;0.01;0;0.26;44.4;0.29;0.06;0.11;0.22;0.7;0.5;0.3
"The_Front_Porch";"Old_King_Clancy";14;5754.55;2368.84;0.1014848246;0.567788551;584;1345;3385.72;8123.39;0.51;1;0.08;12.95;1.01;0.29;0.38;0.47;0.3;0.3;0.4
"Remstar_Media_Group";"Max_(Canadian_TV_channel)";12;911.41;10230.06;0.3993811097;0.0939388804;364;961;9318.65;11141.47;0.58;0;0.04;7.37;1.23;0.29;0.26;0.44;0.7;0.2;0.5
"Bargur_Assembly_constituency";"D._Mathiazhagan";45;4610.38;1042.5;0.2025861607;0.2791358291;934;291;3567.88;5652.89;0.59;0;0.19;0.1;1.09;0.26;0.24;0.53;0.6;0.4;0.2
"Sgares";"N0thing";14;864.44;715.56;0.9;0.9;778;644;148.89;1580;0.35;0;0.05;1.14;0.71;0.17;0.14;0.31;0.6;0.5;0.5
"M._P._Saminathan";"Muthur";11;21963.19;498.89;0.0730768195;0.9;1605;449;21464.3;22462.08;0.33;0.13;0.12;0.5;0.45;0.1;0.09;0.17;0.7;0.5;0.2
"Davey_Graham";"Wizz_Jones";31;3325.56;1031.11;0.9;0.9;2993;928;2294.44;4356.67;0.35;0.85;0.17;5.25;0.75;0.27;0.28;0.46;0.7;0.4;0.4
"Matt_Mays";"When_the_Angels_Make_Contact";22;6800.22;5259.11;0.1798469969;0.02167666;1223;114;1541.11;12059.34;0.01;0.18;0.09;5.43;0.27;0.07;0.06;0.12;0.6;0.6;0.2
"Nobody_Knows_Anybody";"Mateo_Gil";33;2864.34;1467.78;0.1574532106;0.9;451;1321;1396.57;4332.12;0.01;0.14;0.16;7.9;0.31;0.05;0.06;0.11;0.7;0.5;0.1
"Jackie_Toledo";"Lindsay_Cross";15;304.44;772.22;0.9;0.9;274;695;467.78;1076.67;0.37;0;0.21;3.66;0.58;0.15;0.14;0.3;0.5;0.2;0.6
"J._V._Somayajulu";"Ondagona_Baa";27;4143.69;3705.6;0.8996803311;0.3103413565;3728;1150;438.1;7849.29;0.01;0.16;0;1.14;0.18;0.08;0.06;0.12;0.5;0.3;0.1
"The_David_Letterman_Show";"Biff_Henderson";20;17125.71;90164.73;0.1827660962;0.0070648464;3130;637;73039.02;107290.45;0.49;0.11;0.12;3.12;0.82;0.19;0.16;0.37;0.7;0.5;0.3
"Raeesah_Khan";"Daniel_Goh";40;24603.14;2808.81;0.1702222046;0.2392468314;4188;672;21794.32;27411.95;0.46;0;0.13;0;0.87;0.21;0.18;0.42;0.3;0.3;0.5
"Filene's_Basement";"Filene's";136;4.4;59.22;0.2270721826;0.7430176923;1;44;54.81;63.62;0.01;0;0;8.11;0.02;0;0;0.06;0.9;0.3;0.7
"Non-Archimedean";"Levi-Civita_field";11;0;0;;0.1342058276;314;710;0;0;0.26;0;0;0;1;1;1;1;0.8;0.3;0.6
"Ballet_Dancer_(song)";"A_Wild_Romance";12;4104.71;2417.61;0.0859987447;0.0732129416;353;177;1687.11;6522.32;0.01;0;-0.03;24.49;0.05;0.01;0.01;0.06;0.9;0.4;0.5
"Skull_cup";"Baldwin_I,_Latin_Emperor";49;16245;54018.25;0.1574022312;0.0960786357;2557;5190;37773.25;70263.26;0.25;0.08;0.31;6.78;0.25;0.06;0.09;0.17;0.7;0.5;0.6
"Brad_Savage";"Islands_in_the_Stream_(film)";12;22480.34;24091.8;0.1473287139;0.0703143953;3312;1694;1611.45;46572.14;0.01;0.14;0.39;20.49;0.56;0.06;0.15;0.32;0.9;0.4;0.4
"PZL-130_Orlik";"UTVA_Kobac";96;3536.5;3770.28;0.8299174356;0.2323434283;2935;876;233.78;7306.78;0.26;0.08;0.09;0.56;0.38;0.09;0.07;0.14;0.4;0.3;0.4
