"Entity1";"Entity2";"ClickstreamEnt1Ent2";"PopularityEnt1";"PopularityEnt2";"PageRankEnt1";"PageRankEnt2";"PageViewEnt1";"PageViewEnt2";"PopularityDiff";"PopularitySum";"CosineSimilarityEnt1Ent2";"DBpediaSimilarityEnt1Ent2";"DBpediaRelatednessEnt1Ent2";"PalmaInterestingnessEnt1Ent2";"PalmaInterestingness2Ent1Ent2";"PalmaInterestingness3Ent1Ent2";"PalmaInterestingness4Ent1Ent2";"PalmaInterestingness5Ent1Ent2";"Perceived_Relatedness";"Subjective_Knowledge";"Serendipity"
"Carmen_Ejogo";"Perfume_(2001_film)";33;2526317.61;57190.58;0.0502304221;0.0914836047;126898;5232;2469127.04;2583508.19;0.01;0.15;0.44;20.67;0.63;0.07;0.17;0.38;0.5;0.3;0.4
"Savitri_(actress)";"Pelli_Chesi_Choodu";191;0;0;0.1577860688;;40905;1683;0;0;0.01;0.14;0.29;0;1;1;1;1;0.6;0.4;0.1
"Senate_Report_on_Iraqi_WMD_Intelligence";"Colin_Powell";13;20735.43;176136.14;0.0736420708;0.752281726;1527;132504;155400.71;196871.57;0.38;0;0.34;10.38;0.46;0.13;0.16;0.35;0.8;0.6;0.4
"PAOK_FC";"Vale_of_Tempe";14;632247.22;143132.74;0.1803234495;0.0124360091;114009;1780;489114.49;775379.96;0.19;0.13;0.6;19.38;0.52;0.1;0.2;0.44;0.4;0.3;0.4
"George_Soros_conspiracy_theories";"Color_of_Change";69;302684.78;14046.93;0.0814048196;0.1249383547;24640;1755;288637.85;316731.71;0.21;0.2;0.34;5.95;0.15;0.04;0.06;0.11;0.6;0.5;0.9
"Chetak_(disambiguation)";"Aerospatiale_Alouette_III";12;142.24;4488.31;0.4429287136;0.1024884533;63;460;4346.08;4630.55;0.08;0;0;8.58;0.18;0.04;0.03;0.08;0.4;0.4;0.4
"Alhambra";"Ibn_al-Jayyab";14;829092.09;686592;0.0945323209;0.0003145973;78376;216;142500.09;1515684.09;0.51;0;0.24;3.85;0.86;0.21;0.2;0.48;0.6;0.5;0.4
"Montevideo_City_Torque";"Tiago_Palacios";23;41952.26;578.89;0.1184203265;0.9;4968;521;41373.37;42531.15;0.3;0;0.25;7.68;0.38;0.11;0.12;0.25;0.6;0.4;0.5
"Mortal_Kombat_(2021_film)";"Benjamin_Wallfisch";56;8877755.63;8054.63;0.0071712945;0.7462792969;63665;6011;8869701.01;8885810.26;0.23;0;0.32;13.11;0.35;0.07;0.12;0.26;0.8;0.6;0.5
"Nightmare_Alley_(novel)";"Mentalism";11;28903.91;32750.78;0.1146211586;0.4045705045;3313;13250;3846.87;61654.69;0.22;0;0.33;15.83;0.36;0.06;0.13;0.26;0.8;0.3;0.7
"Transition_Korea";"Pragmatism";11;26302.89;42483.34;0.0152454756;0.7244957143;401;30779;16180.46;68786.23;0.08;0;0.28;26.7;0.31;0.05;0.11;0.21;0.6;0.3;0.7
"Gang_of_Eight_(immigration)";"John_Boehner";33;286757.2;56502.22;0.025321073;0.9;7261;50852;230254.98;343259.42;0.2;0.12;0.29;8.37;0.19;0.03;0.06;0.12;0.6;0.4;0.5
"Tauba_Tauba";"Antara_Biswas";75;1254.44;527719.79;0.9;0.0253714191;1129;13389;526465.35;528974.24;0.14;0.15;0.34;8.8;0.23;0.05;0.08;0.16;0.4;0.2;0.2
"Polydimethylsiloxane";"Passive_daytime_radiative_cooling";33;21962.22;164583.06;0.9;0.01956459;19766;3220;142620.83;186545.28;0.3;0;0.27;8.15;0.36;0.11;0.12;0.26;0.7;0.3;0.5
"Lee_Reherman";"Hip_replacement";16;1742.22;163074.97;0.9;0.1322827136;1568;21572;161332.75;164817.2;0.12;0.08;0;0;0.18;0.03;0.04;0.09;0.4;0.2;0.6
"Michael_Ontkean";"A_Chance_of_Snow";13;20221.11;877.78;0.9;0.9;18199;790;19343.33;21098.89;0.01;0.14;0.36;18.9;0.53;0.06;0.13;0.28;0.6;0.6;0.3
"Saint_Martin_(island)";"Chutney_music";13;2042180.08;25509.45;0.0213247599;0.1100376709;43549;2807;2016670.64;2067689.53;0.21;0;0.36;21.51;0.4;0.06;0.14;0.29;0.4;0.3;0.6
"September_2012_raid_on_Camp_Bastion";"Haqqani_network";18;6148.92;11238.89;0.4760185525;0.9;2927;10115;5089.97;17387.81;0.27;0;0.3;9.54;0.33;0.09;0.12;0.26;0.7;0.4;0.6
"Conservative_A-List";"Liz_Truss";89;18919.24;501261.7;0.064696032;0.3175407205;1224;159171;482342.45;520180.94;0.15;0;0.27;12.13;0.3;0.04;0.1;0.2;0.8;0.6;0.4
