Entity1,Entity2,ClickstreamEnt1Ent2,PopularityEnt1,PopularityEnt2,PageRankEnt1,PageRankEnt2,PageViewEnt1,PageViewEnt2,PopularityDiff,PopularitySum,CosineSimilarityEnt1Ent2,DBpediaSimilarityEnt1Ent2,DBpediaRelatednessEnt1Ent2,PalmaInterestingnessEnt1Ent2,PalmaInterestingness2Ent1Ent2,PalmaInterestingness3Ent1Ent2,PalmaInterestingness4Ent1Ent2,PalmaInterestingness5Ent1Ent2
http://dbpedia.org/resource/Linus_Pauling,http://dbpedia.org/resource/Marie_Curie,729,39.0,39.6,0.02564113326744753,0.0252537788129561,1,1,0.6,78.6,0.01,0.0,0,5.62,0.01,0.0,0.0,0.02
http://dbpedia.org/resource/Ernest_Rutherford,http://dbpedia.org/resource/Marie_Curie,37,11.23,39.6,0.0890716016906347,0.0252537788129561,1,1,28.37,50.82,0.01,0.0,0,10.26,0.01,0.0,0.0,0.04
http://dbpedia.org/resource/Mileva_Marić,http://dbpedia.org/resource/Marie_Curie,128,11.23,39.6,0.08901152722295576,0.0252537788129561,1,1,28.36,50.83,0.01,0.0,0,7.64,0.01,0.0,0.0,0.03
http://dbpedia.org/resource/Hendrik_Lorentz,http://dbpedia.org/resource/Marie_Curie,16,83.4,39.6,0.01199068164007242,0.0252537788129561,1,1,43.8,123.0,0.01,0.0,0,15.22,0.02,0.0,0.0,0.05
http://dbpedia.org/resource/UNESCO,http://dbpedia.org/resource/Marie_Curie,24,17.94,39.6,0.05574538237675986,0.0252537788129561,1,1,21.66,57.54,0.01,0.0,0,11.66,0.01,0.0,0.0,0.04
http://dbpedia.org/resource/Satyendra_Nath_Bose,http://dbpedia.org/resource/Marie_Curie,26,1691.75,39.6,0.0005911036984345813,0.0252537788129561,1,1,1652.15,1731.35,0.01,0.0,0,19.32,0.01,0.0,0.0,0.04
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Heinrich_Zangger,19,46.29,22.57,0.02160460937978652,0.04429901114327139,1,1,23.71,68.86,0.01,0.0,0,12.95,0.02,0.0,0.0,0.05
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/resource/Physics,30,39.6,23.84,0.0252537788129561,0.04194155069202474,1,1,15.76,63.44,0.01,0.0,0,10.89,0.01,0.0,0.0,0.04
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Paparoa_Range,42,46.29,11.27,0.02160460937978652,0.08871468402086927,1,1,35.01,57.56,0.01,0.0,0,10.2,0.01,0.0,0.0,0.04
http://dbpedia.org/resource/Giacomo_Casanova,http://dbpedia.org/resource/Don_Juan,433,1329.9,291.41,0.0007519357104503093,0.003431617288438191,1,1,1038.49,1621.31,0.01,0.0,0,10.1,0.01,0.0,0.0,0.02
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/resource/Atom,11,39.6,28.25,0.0252537788129561,0.03539962382932876,1,1,11.35,67.85,0.01,0.0,0,15.45,0.02,0.0,0.0,0.06
http://dbpedia.org/resource/Venetian_language,http://dbpedia.org/resource/Giacomo_Casanova,23,200.55,1329.9,0.004986349830008755,0.0007519357104503093,1,1,1129.35,1530.45,0.01,0.0,0,19.55,0.01,0.0,0.0,0.04
http://dbpedia.org/resource/Venice,http://dbpedia.org/resource/Giacomo_Casanova,167,80.43,1329.9,0.01243320993947169,0.0007519357104503093,1,1,1249.47,1410.33,0.01,0.0,0,11.98,0.01,0.0,0.0,0.03
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Hendrik_Lorentz,36,46.29,83.4,0.02160460937978652,0.01199068164007242,1,1,37.11,129.68,0.01,0.0,0,11.77,0.01,0.0,0.0,0.04
