Entity Couple,Annotator,1. Would you say these entities are closely related in any way?,2. Do you exactly know how they are connected?,3. Do you believe most people would be curious to discover more about their connection - if there were one?,Result,Surprisal,Annotation,S_corrected_Annotation
Entity Pair 13: Irving_Azoff AND Urban_Cowboy,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
"Entity Pair 14: John,_King_of_England AND Dysentery",Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
"Entity Pair 14: John,_King_of_England AND Dysentery",Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
"Entity Pair 14: John,_King_of_England AND Dysentery",Anonymous User 3,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 15: Irish_Americans AND Plantation_of_Ulster,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 15: Irish_Americans AND Plantation_of_Ulster,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 15: Irish_Americans AND Plantation_of_Ulster,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 16: Don_DeFore AND Pierce_Brothers_Westwood_Village_Memorial_Park_and_Mortuary,Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 16: Don_DeFore AND Pierce_Brothers_Westwood_Village_Memorial_Park_and_Mortuary,Anonymous User 2,Yes,No,No,Irrelevant,Mildly Unexpected,0.5,0.5
Entity Pair 16: Don_DeFore AND Pierce_Brothers_Westwood_Village_Memorial_Park_and_Mortuary,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 17: Angels_in_the_Outfield_(1994_film) AND Toronto_Blue_Jays,Anonymous User 1,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 17: Angels_in_the_Outfield_(1994_film) AND Toronto_Blue_Jays,Anonymous User 2,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 17: Angels_in_the_Outfield_(1994_film) AND Toronto_Blue_Jays,Anonymous User 3,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 18: Charles_III AND Edward_VII,Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 18: Charles_III AND Edward_VII,Anonymous User 2,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 18: Charles_III AND Edward_VII,Anonymous User 3,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 19: John_Slattery AND Spotlight_(film),Anonymous User 1,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 19: John_Slattery AND Spotlight_(film),Anonymous User 2,Yes,Yes,Does not apply,Too obvious,Expected,0,0
Entity Pair 19: John_Slattery AND Spotlight_(film),Anonymous User 3,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
Entity Pair 20: Michele_Morrone AND Medici_(TV_series),Anonymous User 1,No,Does not apply,Yes,Serendipitous,Unexpected,1,1.2
Entity Pair 20: Michele_Morrone AND Medici_(TV_series),Anonymous User 2,No,Does not apply,No,Irrelevant,Unexpected,0.5,0.7
Entity Pair 20: Michele_Morrone AND Medici_(TV_series),Anonymous User 3,Yes,No,Yes,Serendipitous,Mildly Unexpected,1,1
