"Entity1";"Entity2";"ClickstreamEnt1Ent2";"PopularityEnt1";"PopularityEnt2";"PageRankEnt1";"PageRankEnt2";"PageViewEnt1";"PageViewEnt2";"PopularityDiff";"PopularitySum";"CosineSimilarityEnt1Ent2";"DBpediaSimilarityEnt1Ent2";"DBpediaRelatednessEnt1Ent2";"PalmaInterestingnessEnt1Ent2";"PalmaInterestingness2Ent1Ent2";"PalmaInterestingness3Ent1Ent2";"PalmaInterestingness4Ent1Ent2";"PalmaInterestingness5Ent1Ent2";"Perceived_Relatedness";"Subjective_Knowledge";"Serendipity"
"The_Golden_Turkey_Awards";"Candice_Bergen";13;25602.76;155455.88;0.0713594984;0.480509337;1827;74698;129853.12;181058.63;0.22;0.15;0;7.54;0.32;0.06;0.08;0.16;0.5;0.3;0.4
"Taking_Back_Sunday";"152_(album)";2454;187597.63;6930.1;0.1072934667;0.213561033;20128;1480;180667.53;194527.73;0.01;0;0;12.23;0.02;0;0;0.06;0.8;0.5;0.4
"The_Karate_Kid";"Amon_Miyamoto";10;865916.19;2847.89;0.135837626;0.1081502169;117624;308;863068.3;868764.08;0.01;0.12;0.39;31.04;0.54;0.07;0.15;0.33;0.8;0.4;0.9
"Rip_cut";"Circular_saw";14;4466.59;231234.64;0.2100037862;0.026760696;938;6188;226768.06;235701.23;0.58;0;0.2;0.42;1.05;0.25;0.23;0.54;0.8;0.5;0.5
"Russian_Dalian";"Bo_Xilai";15;71081;20546.67;0.0348616356;0.9;2478;18492;50534.34;91627.67;0.28;0.13;0.29;7.03;0.18;0.06;0.06;0.12;0.3;0.2;0.7
"Mojo_(comics)";"Charlie_Adler";11;41032.22;24754.44;0.1181023206;0.9;4846;22279;16277.77;65786.66;0.01;0.09;0.38;26.75;0.49;0.07;0.15;0.32;0.7;0.5;0.5
"Buryatia";"Baikal_Mountains";28;63023.1;9751.9;0.38100317;0.1488939863;24012;1452;53271.19;72775;0.27;0.14;0.22;3.92;0.2;0.06;0.05;0.09;0.6;0.5;0.4
"Morton's_toe";"Diana_of_Versailles";117;36290.67;35824.63;0.0007164375;0.0945997161;26;3389;466.04;72115.3;0.01;0;0;17.66;0.02;0;0;0.06;0.4;0.4;0.7
"Republic_TV";"The_Caravan";12;78784.51;45582.94;0.1078765401;0.0774631971;8499;3531;33201.57;124367.44;0.27;0;0.24;11.1;0.33;0.1;0.11;0.22;0.6;0.2;0.3
"Monica_Rambeau";"Great_Lakes_Avengers";67;131461.06;42395.69;0.1020302143;0.1037605451;13413;4399;89065.37;173856.75;0.01;0.17;0.21;9.13;0.4;0.06;0.08;0.15;0.5;0.2;0.6
"Mother_(In_This_Moment_album)";"Maria_Brink";26;7646.67;96180.27;0.1400609071;0.1680906037;1071;16167;88533.6;103826.95;0.48;0;0.12;0.81;0.92;0.22;0.19;0.44;0.7;0.3;0.4
"Something_So_Strong";"Don't_Dream_It's_Over";64;5300.85;2313.26;0.2695794488;0.0181561999;1429;42;2987.59;7614.11;0.06;0;0.13;11.58;0.14;0.02;0.05;0.09;1;0.6;0.5
"Helios";"Lelex_(king_of_Sparta)";51;439055.53;935.84;0.1118810636;0.676401243;49122;633;438119.7;439991.37;0.34;0;0.35;8.37;0.38;0.11;0.15;0.33;0.8;0.3;0.7
"Annapurna_Pictures";"Sayonara_Wild_Hearts";24;115800.66;39551.54;0.1645068304;0.0822471092;19050;3253;76249.12;155352.2;0.18;0;0.28;13.93;0.31;0.05;0.1;0.21;0.8;0.6;0.4
