Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval
'Wepwawet'; 'Anubis';469;2425.26;50476.52;48051.255;52901.78;0.3;0.27;0.17;0.19;1
'Abatur'; 'Anubis';19;368.42;50476.52;50108.1;50844.935;0.14;0.49;0.38;2.5;1
'Khonsu'; 'Anubis';12;4686.21;50476.52;45790.31;55162.726;0.16;0.49;0.28;1.47;1
'Eye_of_Horus'; 'Anubis';11;16962.0;50476.52;33514.52;67438.51;0.29;0.37;0.21;0.68;0
'Index_of_Egyptian_mythology_articles'; 'Anubis';19;232.33;50476.52;50244.185;50708.85;0.14;0.15;0.19;3.87;0
'Serapis'; 'Anubis';19;8241.04;50476.52;42235.476;58717.56;0.24;0.49;0.2;1.64;1
'Imiut_fetish'; 'Anubis';13;712.67;50476.52;49763.85;51189.185;0.33;0.48;0.3;0.09;1
'Ra'; 'Anubis';87;60448.7;50476.52;9972.18;110925.22;0.3;0.49;0.19;2.0;0
'Khenti-Amentiu'; 'Anubis';39;504.74;50476.52;49971.78;50981.255;0.42;0.49;0.27;1.03;0
'Osiris_myth'; 'Anubis';36;6925.0;50476.52;43551.52;57401.52;0.37;0.49;0.16;3.41;0
'Asyut'; 'Anubis';13;2020.61;50476.52;48455.906;52497.13;0.25;0.1;0.22;5.05;1
'Anubis_Shrine'; 'Anubis';57;974.67;50476.52;49501.85;51451.185;0.59;0.12;0.25;0.07;0
'Khnum'; 'Anubis';10;4081.05;50476.52;46395.464;54557.57;0.17;0.49;0.24;0.3;1
'Mummies_Alive!'; 'Anubis';32;4276.19;50476.52;46200.324;54752.71;0.24;0.3;0.49;5.22;1
'Cynocephaly'; 'Anubis';34;3636.32;50476.52;46840.2;54112.84;0.36;0.16;0.31;2.94;0
'Therianthropy'; 'Anubis';17;6656.32;50476.52;43820.2;57132.84;0.28;0.11;0.33;6.75;1
'Dark_Horse_(Katy_Perry_song)'; 'Anubis';11;3620.33;50476.52;46856.185;54096.85;0.17;0.11;0.43;12.64;1
'Nephthys'; 'Anubis';475;7266.84;50476.52;43209.67;57743.36;0.33;0.53;0.16;1.99;0
'Curse_of_the_pharaohs'; 'Anubis';29;11648.42;50476.52;38828.1;62124.935;0.32;0.27;0.39;3.84;1
'Saqqara'; 'Anubis';24;6318.42;50476.52;44158.1;56794.935;0.29;0.08;0.25;4.83;1
'Akhenaten'; 'Anubis';21;30504.74;50476.52;19971.775;80981.26;0.29;0.35;0.27;1.32;1
'Nefertiti'; 'Anubis';16;34483.43;50476.52;15993.087;84959.95;0.24;0.09;0.28;8.41;1
'Duat'; 'Anubis';261;4468.42;50476.52;46008.1;54944.935;0.37;0.46;0.17;1.8;1
'Golden_jackal'; 'Anubis';11;5909.33;50476.52;44567.185;56385.85;0.31;0.12;0.36;7.58;1
'Animal_worship'; 'Anubis';14;1555.0;50476.52;48921.52;52031.52;0.43;0.11;0.23;1.58;0
'Kemetism'; 'Anubis';112;5638.95;50476.52;44837.57;56115.464;0.37;0.24;0.21;0.08;1
'Pluto_(mythology)'; 'Anubis';10;18534.23;50476.52;31942.287;69010.75;0.35;0.13;0.31;6.17;1
'Bastet'; 'Anubis';50;21332.63;50476.52;29143.886;71809.15;0.28;0.53;0.18;2.53;1
'Hades'; 'Anubis';10;67977.5;50476.52;17500.9803;118454.01;0.31;0.34;0.32;3.21;0
'Ancient_Egyptian_deities'; 'Anubis';463;7473.0;50476.52;43003.52;57949.52;0.41;0.67;0.15;3.06;0
'Thoth'; 'Anubis';124;30628.15;50476.52;19848.365;81104.67;0.29;0.49;0.12;3.29;0
'Anput'; 'Anubis';295;2575.26;50476.52;47901.255;53051.78;0.47;0.53;0.2;1.98;1
'Apep'; 'Anubis';19;20701.74;50476.52;29774.775;71178.26;0.18;0.2;0.19;3.85;1
'Coptic_identity'; 'Anubis';11;495.0;50476.52;49981.52;50971.52;0.31;0.18;0.36;4.78;1
'Anubias'; 'Anubis';12;1453.68;50476.52;49022.84;51930.2;0.07;0.23;0.47;11.1;1
'Anubis_II'; 'Anubis';10;285.67;50476.52;50190.85;50762.185;0.44;0.36;0.37;1.18;1
'Pyramid_Texts'; 'Anubis';24;2359.33;50476.52;48117.185;52835.85;0.28;0.16;0.18;1.65;0
'Mafdet'; 'Anubis';48;1028.95;50476.52;49447.57;51505.464;0.24;0.53;0.24;0.64;0
'Ammit'; 'Anubis';74;7124.7;50476.52;43351.82;57601.214;0.36;0.44;0.21;1.44;0
'Egyptian_wolf'; 'Anubis';52;314.0;50476.52;50162.52;50790.52;0.23;0.06;0.37;5.1;0
'Hunefer'; 'Anubis';23;832.11;50476.52;49644.406;51308.63;0.25;0.09;0.38;6.42;1
'Cats_in_ancient_Egypt'; 'Anubis';11;7328.33;50476.52;43148.185;57804.85;0.33;0.06;0.23;5.35;1
'Hermanubis'; 'Anubis';64;1443.68;50476.52;49032.84;51920.2;0.37;0.49;0.25;1.02;1
'Dogs_in_religion'; 'Anubis';41;1748.0;50476.52;48728.52;52224.52;0.32;0.07;0.27;3.64;1
'Luxor_Temple'; 'Anubis';24;3448.0;50476.52;47028.52;53924.52;0.27;0.1;0.29;5.32;1
'Opening_of_the_mouth_ceremony'; 'Anubis';35;947.0;50476.52;49529.52;51423.52;0.35;0.36;0.28;0.38;1
'Ancient_Egypt'; 'Anubis';110;47790.33;50476.52;2686.185;98266.85;0.46;0.08;0.33;2.84;0
'Sopdet'; 'Anubis';90;1174.21;50476.52;49302.31;51650.726;0.25;0.53;0.26;0.36;1
'Set_animal'; 'Anubis';26;1918.33;50476.52;48558.185;52394.85;0.35;0.31;0.23;0
'Djed'; 'Anubis';13;2007.37;50476.52;48469.144;52483.89;0.29;0.44;0.22;1.1;1
'Sobek'; 'Anubis';32;9466.29;50476.52;41010.226;59942.81;0.23;0.32;0.2;0.62;1
