Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Phlegethon'; 'Alexander_the_Great';10;2266.84;113391.33;111124.49;115658.17;0.28;0.18;0.67;16.11;1;0;0.67
Israel'; 'Alexander_the_Great';242;362410.43;113391.33;249019.1;475801.76;0.45;0.14;0.67;5.83;1;0;0.7
Byzantium'; 'Alexander_the_Great';59;26902.54;113391.33;86488.79;140293.87;0.45;0.12;0.33;3.1;0;1;0.8
Alexander_I_of_Macedon'; 'Alexander_the_Great';86;1241.33;113391.33;112150;114632.66;0.54;0.49;0.37;0.63;0;0;0.68
Apis_(deity)'; 'Alexander_the_Great';12;5848.72;113391.33;107542.61;119240.05;0.36;0.1;0.4;9.59;1;0;0.7
Midas'; 'Alexander_the_Great';28;28834.51;113391.33;84556.82;142225.84;0.32;0.55;0.43;1.82;1;0;0.7
Peloponnesian_War'; 'Alexander_the_Great';207;31375.67;113391.33;82015.66;144767;0.43;0.1;0.3;2.37;0;1;0.8
Ptolemaic_Kingdom'; 'Alexander_the_Great';408;11619.67;113391.33;101771.66;125011;0.52;0.16;0.25;0.15;0;1;0.8
Albanian_lek'; 'Alexander_the_Great';41;1938.33;113391.33;111453;115329.66;0.14;0.09;0.53;14.06;0;1;0.86
Battle_of_Chaeronea_(338_BC)'; 'Alexander_the_Great';187;2282.67;113391.33;111108.66;115674;0.47;0.1;0.29;1.84;1;1;0.8
Parmenion'; 'Alexander_the_Great';94;1837.37;113391.33;111553.96;115228.7;0.51;0.58;0.26;2.8;1;0;0.78
Epaminondas'; 'Alexander_the_Great';26;2902.31;113391.33;110489.02;116293.64;0.42;0.58;0.33;1.42;1;0;0.78
Red_Sea'; 'Alexander_the_Great';34;17695.33;113391.33;95696;131086.66;0.35;0.16;0.44;6.53;1;0;0.67
Diodorus_Siculus'; 'Alexander_the_Great';40;3057.33;113391.33;110334;116448.66;0.35;0.36;0.29;0.78;0;0;0.67
Somatophylakes'; 'Alexander_the_Great';83;1078.95;113391.33;112312.38;114470.28;0.28;0.11;0.34;5.65;1;1;0.83
Heterochromia_iridum'; 'Alexander_the_Great';29;18575;113391.33;94816.33;131966.33;0.21;0.09;0.56;13.51;1;1;0.83
Western_culture'; 'Alexander_the_Great';30;15527.67;113391.33;97863.66;128919;0.58;0.12;0.42;3.57;0;0;0.77
Siwa_Oasis'; 'Alexander_the_Great';39;13781;113391.33;99610.33;127172.33;0.33;0.12;0.39;6.52;1;1;0.8
Genghis_Khan'; 'Alexander_the_Great';104;101913.33;113391.33;11478;215304.66;0.35;0.83;0.39;1.23;1;1;0.8
The_Suicide_of_Saul'; 'Alexander_the_Great';13;311;113391.33;113080.33;113702.33;0.24;0.17;0.62;15.03;1;1;0.8
Pericles'; 'Alexander_the_Great';48;43939.1;113391.33;69452.23;157330.43;0.36;0.52;0.34;0;0;1;0.89
Scythians'; 'Alexander_the_Great';18;33211.68;113391.33;80179.65;146603.01;0.34;0.11;0.3;6.11;1;0;0.79
