Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Prophets_and_messengers_in_Islam'; 'Alexander_the_Great';89;26643;113391.33;86748.33;140034.33;0.39;0.4;0.48;2.63;1;1;0.81
Tomb_of_Alexander_the_Great'; 'Alexander_the_Great';64;3668;113391.33;109723.33;117059.33;0.56;0.19;0.34;1.18;0;1;0.81
Companion_cavalry'; 'Alexander_the_Great';80;1307.33;113391.33;112084;114698.66;0.51;0.11;0.3;1.79;0;0;0.78
Iran'; 'Alexander_the_Great';796;241967.26;113391.33;128575.93;355358.59;0.48;0.16;0.76;4.8;1;1;0.81
Timeline_of_Jewish_history'; 'Alexander_the_Great';42;3241.33;113391.33;110150;116632.66;0.4;0.09;0.43;6.34;1;0;0.68
Table_of_prophets_of_Abrahamic_religions'; 'Alexander_the_Great';33;2371.67;113391.33;111019.66;115763;0.12;0.4;0.53;7.77;1;1;0.81
Indian_campaign_of_Alexander_the_Great'; 'Alexander_the_Great';322;7870.67;113391.33;105520.66;121262;0.74;0.09;0.26;0.76;0;1;0.83
Heavy_cavalry'; 'Alexander_the_Great';37;2190.33;113391.33;111201;115581.66;0.42;0.13;0.42;5.42;0;1;0.8
Panjshir_Valley'; 'Alexander_the_Great';10;647.67;113391.33;112743.66;114039;0.18;0.21;0.5;14.98;1;0;0.78
Rhodes'; 'Alexander_the_Great';21;26768.75;113391.33;86622.58;140160.08;0.39;0.16;0.34;4.74;1;1;0.8
Philosopher_king'; 'Alexander_the_Great';182;3695.33;113391.33;109696;117086.66;0.45;0.13;0.47;3.99;1;0;0.73
Phrygia'; 'Alexander_the_Great';46;10691.97;113391.33;102699.36;124083.3;0.38;0.08;0.33;5.02;1;0;0.73
Argyraspides'; 'Alexander_the_Great';16;692.11;113391.33;112699.22;114083.44;0.41;0.11;0.38;6.79;1;0;0.78
Matter_of_Rome'; 'Alexander_the_Great';24;571;113391.33;112820.33;113962.33;0.34;0.17;0.46;7.6;1;0;0.78
Egypt'; 'Alexander_the_Great';93;220427.43;113391.33;107036.1;333818.76;0.43;0.16;0.53;5.39;1;0;0.68
Battle_of_Gaugamela'; 'Alexander_the_Great';913;5842.33;113391.33;107549;119233.66;0.67;0.1;0.2;1.12;1;1;0.81
Asafoetida'; 'Alexander_the_Great';17;21063.16;113391.33;92328.17;134454.49;0.25;0.32;0.54;8.77;1;0;0.78
Chronology_of_European_exploration_of_Asia'; 'Alexander_the_Great';29;1701.33;113391.33;111690;115092.66;0.43;0.43;0.41;1.56;1;0;0.78
Pella'; 'Alexander_the_Great';110;9234.26;113391.33;104157.07;122625.59;0.47;0.12;0.26;1.3;1;1;0.83
Archimedes'; 'Alexander_the_Great';13;74374.58;113391.33;39016.75;187765.91;0.28;0.33;0.43;6.61;1;0;0.77
Aristotle'; 'Alexander_the_Great';3057;242694.17;113391.33;129302.84;356085.5;0.43;0.25;0.34;1.04;0;1;0.85
Spitamenes'; 'Alexander_the_Great';26;576.32;113391.33;112815.01;113967.65;0.41;0.4;0.34;0.78;1;1;0.8
Byzantine_Empire'; 'Alexander_the_Great';63;62818.67;113391.33;50572.66;176210;0.53;0.14;0.35;2.19;0;1;0.8
Philoxenus_of_Eretria'; 'Alexander_the_Great';10;93.67;113391.33;113297.66;113485;0.34;0.42;0.42;4.18;1;0;0.78
Napoleonic_Wars'; 'Alexander_the_Great';11;35270.67;113391.33;78120.66;148662;0.48;0.1;0.63;11.82;1;0;0.78
History_of_Egypt'; 'Alexander_the_Great';140;6964.67;113391.33;106426.66;120356;0.44;0.16;0.4;3.17;0;1;0.82
Bactria'; 'Alexander_the_Great';117;18362.32;113391.33;95029.01;131753.65;0.47;0.14;0.25;0.89;1;1;0.86
Euphrates'; 'Alexander_the_Great';11;17130.29;113391.33;96261.04;130521.62;0.31;0.15;0.36;8.87;0;1;0.85
Herostratus'; 'Alexander_the_Great';12;2510;113391.33;110881.33;115901.33;0.3;0.27;0.43;7.66;1;1;0.94
Joan_of_Arc'; 'Alexander_the_Great';10;60672;113391.33;52719.33;174063.33;0.29;0.28;0.62;12.36;1;0;0.68
Leonidas_I'; 'Alexander_the_Great';31;22604.33;113391.33;90787;135995.66;0.37;0.43;0.41;2.17;0;1;0.83
Uzbekistan'; 'Alexander_the_Great';193;110738.46;113391.33;2652.87;224129.79;0.34;0.16;0.51;5.2;1;1;0.83
Bahrain'; 'Alexander_the_Great';25;130826.96;113391.33;17435.63;244218.29;0.3;0.17;0.52;9.35;1;0;0.78
Siege_of_Halicarnassus'; 'Alexander_the_Great';12;350.67;113391.33;113040.66;113742;0.45;0.09;0.23;2.48;1;0;0.78
Homer'; 'Alexander_the_Great';13;70815.45;113391.33;42575.88;184206.78;0.37;0.1;0.32;6.95;1;0;0.78
Cultural_depictions_of_Alexander_the_Great'; 'Alexander_the_Great';41;465.67;113391.33;112925.66;113857;0.78;0.11;0.31;0.68;0;1;0.86
Callisthenes'; 'Alexander_the_Great';39;820;113391.33;112571.33;114211.33;0.44;0.36;0.34;0.8;1;1;0.9
Constantine_the_Great'; 'Alexander_the_Great';24;33687.33;113391.33;79704;147078.66;0.35;0.56;0.38;0.52;0;0;0.42
Herodotus'; 'Alexander_the_Great';11;38701.14;113391.33;74690.19;152092.47;0.34;0.28;0.25;1.55;1;0;0.73
Kodava_people'; 'Alexander_the_Great';31;2560.33;113391.33;110831;115951.66;0.28;0.11;0.65;12.04;1;0;0.77
Kalasha_Valleys'; 'Alexander_the_Great';20;570.67;113391.33;112820.66;113962;0.13;0.17;0.46;13.5;1;0;0.77
Mellified_man'; 'Alexander_the_Great';33;13411;113391.33;99980.33;126802.33;0.26;0.23;0.57;8.83;1;0;0.78
Albania'; 'Alexander_the_Great';17;183933.63;113391.33;70542.3;297324.96;0.41;0.14;0.58;10.16;1;1;0.84
Sacred_Band_of_Thebes'; 'Alexander_the_Great';33;5844;113391.33;107547.33;119235.33;0.47;0.11;0.34;3.66;1;0;0.78
Macedonian_phalanx'; 'Alexander_the_Great';57;2125;113391.33;111266.33;115516.33;0.43;0.11;0.32;3.35;0;0;0.78
Angelina_Jolie'; 'Alexander_the_Great';12;130267.33;113391.33;16876;243658.66;0.26;0.3;0.59;11.26;1;0;0.77
Ancient_Corinth'; 'Alexander_the_Great';12;6254.67;113391.33;107136.66;119646;0.41;0.12;0.33;5.98;1;1;0.8
Arno_Breker'; 'Alexander_the_Great';205;2058;113391.33;111333.33;115449.33;0.21;0.3;0.69;6.52;1;1;0.8
Bangladesh'; 'Alexander_the_Great';26;291071.05;113391.33;177679.72;404462.38;0.4;0.15;0.76;11.5;1;0;0.78
1_Maccabees'; 'Alexander_the_Great';12;3171.33;113391.33;110220;116562.66;0.34;0.15;0.42;9.3;1;1;0.84
Ancient_Egypt'; 'Alexander_the_Great';834;47790.33;113391.33;65601;161181.66;0.53;0.14;0.3;0.81;1;0;0.73
Perceforest'; 'Alexander_the_Great';10;667.89;113391.33;112723.44;114059.22;0.25;0.15;0.49;14.42;1;0;0.73
Macedonia_(Greece)'; 'Alexander_the_Great';156;12521.74;113391.33;100869.59;125913.07;0.43;0.16;0.35;2.57;0;0;0.78
Gallipoli'; 'Alexander_the_Great';18;20028.7;113391.33;93362.63;133420.03;0.42;0.14;0.47;7.55;0;1;0.8
Megasthenes'; 'Alexander_the_Great';14;5913.68;113391.33;107477.65;119305.01;0.23;0.45;0.35;3.26;1;1;0.84
Cynane'; 'Alexander_the_Great';23;745.26;113391.33;112646.07;114136.59;0.31;0.43;0.29;0.52;1;1;0.86
Barsine'; 'Alexander_the_Great';61;791.91;113391.33;112599.42;114183.24;0.4;0.35;0.37;1.69;1;0;0.77
Antigonus_I_Monophthalmus'; 'Alexander_the_Great';93;2755.67;113391.33;110635.66;116147;0.37;0.71;0.23;3.34;1;0;0.78
Amu_Darya'; 'Alexander_the_Great';15;3688.67;113391.33;109702.66;117080;0.32;0.2;0.38;6.95;1;0;0.78
Jews'; 'Alexander_the_Great';55;145562.16;113391.33;32170.83;258953.49;0.45;0.11;0.47;5.55;1;0;0.77
Ancient_Greece'; 'Alexander_the_Great';2252;43249.33;113391.33;70142;156640.66;0.6;0.09;0.23;0.18;0;0;0.77
Alexandria_Arachosia'; 'Alexander_the_Great';47;386;113391.33;113005.33;113777.33;0.28;0.13;0.38;6.78;1;0;0.66
Gog_and_Magog'; 'Alexander_the_Great';329;15648;113391.33;97743.33;129039.33;0.35;0.1;0.4;4.23;1;0;0.73
Hanging_Gardens_of_Babylon'; 'Alexander_the_Great';46;34483;113391.33;78908.33;147874.33;0.38;0.13;0.39;5.24;1;1;0.8
Medieval_Greek'; 'Alexander_the_Great';53;2652.67;113391.33;110738.66;116044;0.43;0.14;0.39;4.19;1;1;0.8
Smyrna'; 'Alexander_the_Great';54;16354.46;113391.33;97036.87;129745.79;0.4;0.15;0.41;4.75;1;1;0.8
Parallel_Lives'; 'Alexander_the_Great';111;3724;113391.33;109667.33;117115.33;0.33;0.13;0.38;4.8;1;1;0.8
Ancient_Macedonians'; 'Alexander_the_Great';90;2908.67;113391.33;110482.66;116300;0.6;0.13;0.22;0.9;0;1;0.8
Campaspe'; 'Alexander_the_Great';16;775;113391.33;112616.33;114166.33;0.28;0.31;0.44;6.69;1;1;0.86
Antiochus_IV_Epiphanes'; 'Alexander_the_Great';13;5678.33;113391.33;107713;119069.66;0.32;0.88;0.35;3.44;1;0;0.78
Mumtaz_(actress)'; 'Alexander_the_Great';54;25494.35;113391.33;87896.98;138885.68;0.14;0.4;0.67;8.06;1;0;0.78
Pausanias_of_Orestis'; 'Alexander_the_Great';63;1176;113391.33;112215.33;114567.33;0.35;0.33;0.32;1.57;1;1;0.8
Macedonians_(Greeks)'; 'Alexander_the_Great';21;1711.71;113391.33;111679.62;115103.04;0.46;0.14;0.37;4.53;0;0;0.77
Nader_Shah'; 'Alexander_the_Great';58;6317.33;113391.33;107074;119708.66;0.37;0.92;0.39;2.08;1;1;0.81
Battle_of_Thebes'; 'Alexander_the_Great';86;722;113391.33;112669.33;114113.33;0.53;0.1;0.31;1.82;0;1;0.81
Demetrius_I_of_Bactria'; 'Alexander_the_Great';20;1009;113391.33;112382.33;114400.33;0.4;0.55;0.32;1.26;0;0;0.77
Porus'; 'Alexander_the_Great';650;79116.28;113391.33;34275.05;192507.61;0.43;0.43;0.35;0.22;1;0;0.73
Halicarnassus'; 'Alexander_the_Great';36;4468.95;113391.33;108922.38;117860.28;0.39;0.12;0.32;4.27;1;0;0.73
Etemenanki'; 'Alexander_the_Great';76;4628.42;113391.33;108762.91;118019.75;0.33;0.15;0.44;5.75;1;1;0.8
Babylon'; 'Alexander_the_Great';212;127920.35;113391.33;14529.02;241311.68;0.42;0.13;0.23;1.05;1;1;0.8
Nuristanis'; 'Alexander_the_Great';19;1550.53;113391.33;111840.8;114941.86;0.41;0.14;0.41;6.44;1;0;0.79
Indus_Valley_Civilisation'; 'Alexander_the_Great';72;36556.33;113391.33;76835;149947.66;0.43;0.11;0.41;4.57;0;1;0.8
Portrait_of_the_Four_Tetrarchs'; 'Alexander_the_Great';12;1031;113391.33;112360.33;114422.33;0.4;0.13;0.52;10.5;1;1;0.8
Battle_of_Pydna'; 'Alexander_the_Great';14;1342;113391.33;112049.33;114733.33;0.41;0.1;0.37;7.11;1;1;0.8
The_School_of_Athens'; 'Alexander_the_Great';68;17743.67;113391.33;95647.66;131135;0.43;0.12;0.46;5.17;1;1;0.84
Bakshi_Banu_Begum'; 'Alexander_the_Great';11;911;113391.33;112480.33;114302.33;0.2;0.46;0.54;8.48;1;0;0.73
King_Arthur'; 'Alexander_the_Great';11;56571;113391.33;56820.33;169962.33;0.38;0.4;0.55;6.54;1;0;0.77
Coenus_(general)'; 'Alexander_the_Great';13;536.28;113391.33;112855.05;113927.61;0.34;0.58;0.31;1.38;1;1;0.82
Alexandros_of_Antioch'; 'Alexander_the_Great';25;577.67;113391.33;112813.66;113969;0.21;0.42;0.52;6.46;1;1;0.8
Nearchus'; 'Alexander_the_Great';17;878.42;113391.33;112512.91;114269.75;0.44;0.35;0.28;0.42;1;0;0.79
Khidr'; 'Alexander_the_Great';22;6795.72;113391.33;106595.61;120187.05;0.39;0.33;0.46;4.39;1;0;0.79
Xerxes_I'; 'Alexander_the_Great';113;19467.67;113391.33;93923.66;132859;0.42;0.55;0.3;1.25;1;1;0.8
Maurya_Empire'; 'Alexander_the_Great';253;31107;113391.33;82284.33;144498.33;0.47;0.14;0.29;1.36;1;0;0.77
Western_world'; 'Alexander_the_Great';10;18175;113391.33;95216.33;131566.33;0.55;0.09;0.42;6.47;0;1;0.86
Alexander_I_of_Epirus'; 'Alexander_the_Great';72;455.33;113391.33;112936;113846.66;0.45;0.53;0.32;1.11;0;1;0.86
Roman_portraiture'; 'Alexander_the_Great';12;888;113391.33;112503.33;114279.33;0.4;0.1;0.43;9.28;1;0;0.7
Hindu_Kush'; 'Alexander_the_Great';50;10905.33;113391.33;102486;124296.66;0.38;0.17;0.36;4.04;1;0;0.68
Macedonians_(ethnic_group)'; 'Alexander_the_Great';10;3966.33;113391.33;109425;117357.66;0.46;0.14;0.48;8.79;0;0;0.68
Bible'; 'Alexander_the_Great';18;102622.41;113391.33;10768.92;216013.74;0.47;0.09;0.49;7.92;1;1;0.82
Kingdom_of_Armenia_(antiquity)'; 'Alexander_the_Great';29;9013.39;113391.33;104377.94;122404.72;0.4;0.15;0.34;4.28;1;1;0.8
Kazakhstan'; 'Alexander_the_Great';49;191619.66;113391.33;78228.33;305010.99;0.38;0.1;0.65;9.34;1;1;0.8
