Entity1,Entity2,ClickstreamEnt1Ent2,PopularityEnt1,PopularityEnt2,PageRankEnt1,PageRankEnt2,PageViewEnt1,PageViewEnt2,PopularityDiff,PopularitySum,CosineSimilarityEnt1Ent2,DBpediaSimilarityEnt1Ent2,DBpediaRelatednessEnt1Ent2,PalmaInterestingnessEnt1Ent2,PalmaInterestingness2Ent1Ent2,PalmaInterestingness3Ent1Ent2,PalmaInterestingness4Ent1Ent2,PalmaInterestingness5Ent1Ent2,Perceived_Relatedness,Subjective_Knowledge,Serendipity,Avg_Perceived_Relatedness,Avg_Subjective_Knowledge,Avg_Serendipity,Unnamed: 11,Legend
Shabazz_Napier,Minnesota_Timberwolves,14,63936.22,332069.3,0.1520890664857956,0.1252750550291535,9724,41600,268133.08,396005.52,0.15,0.21,0.32,10.65,0.25,0.04,0.06,0.12,0.6,0.4,0.4,nan,nan,nan,nan,nan
Thomas_Piketty,May_68,14,15451.11,41324.44,0.9000000000000001,0.9,13906,37192,25873.33,56775.56,0.3,0.0,0.52,15.26,0.57,0.07,0.2,0.49,0.6,0.3,0.6,nan,nan,nan,nan,nan
Isle_of_Dogs_(film),Greta_Gerwig,761,48517727.48,842639.99,0.0006609130654784469,0.09875629139087756,32066,83216,47675087.5,49360367.47,0.01,0.0,0.29,29.32,0.32,0.06,0.12,0.26,0.7,0.5,0.6,nan,nan,nan,nan,nan
Gold_reserve,Japan,10,37484.44,3819622.46,0.9,0.1576365220136024,33736,602112,3782138.02,3857106.9,0.27,0.1,0.89,28.26,0.87,0.14,0.34,0.32,0.6,0.3,0.6,nan,nan,nan,nan,nan
Festus_Ezeli,List_of_NBA_champions,15,47054.62,2395323.99,0.1442366375893602,0.1091727054922964,6787,261504,2348269.37,2442378.6,0.14,0.0,0.36,26.23,0.4,0.06,0.14,0.29,0.7,0.5,0.5,nan,nan,nan,nan,nan
Michael_Foot,1960_Ebbw_Vale_by-election,17,52835.87,2661.74,0.2766870208964597,0.09166935341132673,14619,244,50174.13,55497.61,0.63,0.0,0.24,0.78,1.12,0.27,0.25,0.57,0.3,0.2,0.5,nan,nan,nan,nan,nan
Uluru,Kingfisher,15,0,0,0.9,,49338,30836,0,0,0.19,0.0,0.57,0,1,1,1,1,0.4,0.3,0.5,nan,nan,nan,nan,nan
Peter_III_of_Russia,Lutheranism,15,672984.07,401227.52,0.123622539847478,0.1880030565022882,83196,75432,271756.55,1074211.59,0.36,0.08,0.47,12.23,0.43,0.09,0.15,0.34,0.7,0.5,0.5,nan,nan,nan,nan,nan
Samuel_L._Jackson,A_Time_to_Kill_(1996_film),491,1728992.28,424976.1,0.1020166496738131,0.1393113620816289,176386,59204,1304016.18,2153968.39,0.01,0.14,0.36,10.82,0.53,0.06,0.13,0.28,1.0,0.6,0.7,nan,nan,nan,nan,nan
Saracen,Hagar,39,119065.23,76563.92,0.2333762704989261,0.2668881014085008,27787,20434,42501.31,195629.16,0.21,0.09,0.35,9.24,0.29,0.05,0.1,0.19,0.3,0.3,0.4,nan,nan,nan,nan,nan
Sanjay_Khan,Metro-Goldwyn-Mayer,10,366134.64,352190.25,0.2213857728693319,0.2933840479632625,81057,103327,13944.39,718324.88,0.14,0.1,0.84,29.85,0.81,0.15,0.34,0.25,0.4,0.3,0.5,nan,nan,nan,nan,nan
