Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2
Kevin_Nash';Aquinas_High_School_(Michigan)';199;18552.67;178.38;18374.29;18731.05;0.21;0.1;0.4;3.5
Moe_anthropomorphism';OS-tan';305;2769.67;1976.84;792.83;4746.51;0.36;0.89;0.15;3.43
Subminor_and_supermajor';Neutral_interval';13;84.33;93.67;9.343;178;0.37;0.18;0.05;3.33
Warren_Spahn';1959_Major_League_Baseball_All-Star_Game_(second_game)';13;1972.67;158.67;1814;2131.34;0.18;0.11;0.15;3.3
Rich_Girl_(Hall_&_Oates_song)';David_Berkowitz';248;1458.33;46370;44911.67;47828.33;0.24;0.22;0.45;3.27
Dr._Johnny_Fever';Boss_Radio';12;3481.42;157.33;3324.09;3638.75;0.28;0.23;0.33;3.27
Roy_Radin';David_Berkowitz';27;845.67;46370;45524.33;47215.67;0.24;0.36;0.42;3.24
2005_Florida_State_Seminoles_football_team';2005_Penn_State_Nittany_Lions_football_team';52;430;736.33;306.334;1166.33;0.26;1;0.21;3.21
Michael_Badalucco';David_Berkowitz';12;2400.67;46370;43969.33;48770.67;0.18;0.36;0.28;3
Richard_Ramirez';David_Berkowitz';20;44322;46370;2048;90692;0.31;0.67;0.26;2.94
Going_postal';David_Berkowitz';279;6905.67;46370;39464.33;53275.67;0.36;0.09;0.34;2.89
Mint_(facility)';Mint-made_errors';34;3780.95;2645.33;1135.62;6426.28;0.49;0.09;0.35;2.75
Gary_Ridgway';David_Berkowitz';50;62053;46370;15683;108423;0.33;0.83;0.3;2.72
Operation_Black_Buck';H2S_(radar)';19;2844.67;1309.65;1535.02;4154.32;0.4;0.08;0.25;2.62
Japanese_honorifics';OS-tan';119;15381.67;1976.84;13404.83;17358.51;0.25;0.19;0.29;2.56
Roger_Maris';1959_Major_League_Baseball_All-Star_Game_(second_game)';46;6533;158.67;6374.33;6691.67;0.22;0.1;0.2;2.56
Ed_Gein';David_Berkowitz';12;66490.67;46370;20120.67;112860.67;0.2;0.49;0.33;2.54
Interval_(music)';Neutral_interval';13;26200;93.67;26106.33;26293.67;0.38;0.67;0.24;2.43
McMurdo_Dry_Valleys';Taylor_Glacier';74;2828.67;176.33;2652.34;3005;0.45;0.52;0.15;2.43
Sullivan_Correctional_Facility';David_Berkowitz';130;913.33;46370;45456.67;47283.33;0.29;0.14;0.29;2.4
Four-terminal_sensing';Electrical_measurements';28;2262.67;1046.67;1216;3309.34;0.21;0.1;0.13;2.36
Christian_IX_of_Denmark';Treaty_of_Vienna_(1864)';201;8356.33;404.67;7951.66;8761;0.29;0.07;0.26;2.31
Die_defect';Mint-made_errors';22;96;2645.33;2549.33;2741.33;0.43;0.58;0.21;2.27
The_Bronx_Is_Burning';David_Berkowitz';62;625.67;46370;45744.33;46995.67;0.26;0.24;0.31;2.24
Voltmeter';Electrical_measurements';17;8755.26;1046.67;7708.59;9801.93;0.18;0.33;0.25;2.23
University_of_Alabama_traditions';Million_Dollar_Band_(marching_band)';39;4066.67;1167.67;2899;5234.34;0.53;0.25;0.16;2.23
Bombing_of_Cologne_in_World_War_II';H2S_(radar)';18;1871.33;1309.65;561.68;3180.98;0.28;0.07;0.14;2.23
English_Electric_Canberra';H2S_(radar)';16;5981.67;1309.65;4672.02;7291.32;0.39;0.22;0.31;2.18
Metox_radar_detector';H2S_(radar)';33;152;1309.65;1157.65;1461.65;0.38;0.95;0.31;2.14
Electrical_resistance_and_conductance';Electrical_measurements';22;9543.67;1046.67;8497;10590.34;0.29;0.17;0.22;2.13
Clinton_Correctional_Facility';David_Berkowitz';388;14785.67;46370;31584.33;61155.67;0.36;0.12;0.29;2.12
Bombing_of_Berlin_in_World_War_II';H2S_(radar)';23;3402;1309.65;2092.35;4711.65;0.42;0.08;0.24;2
Steve_Dunleavy';David_Berkowitz';12;401.67;46370;45968.33;46771.67;0.23;0.44;0.34;1.95
Nicky_Wu';Scarlet_Heart_2';23;2267.33;2504.67;237.345;4772;0.22;0.13;0.13;1.89
Wayne_Williams';David_Berkowitz';440;9721.33;46370;36648.67;56091.33;0.34;0.83;0.27;1.88
Anglo-Chinese_School_(Independent)';William_Fitzjames_Oldham';27;2631.25;72.33;2558.92;2703.58;0.37;0.09;0.26;1.87
Duchy_of_Holstein';Treaty_of_Vienna_(1864)';14;958.67;404.67;554;1363.34;0.42;0.08;0.23;1.87
Penn_State_Nittany_Lions_football';2005_Penn_State_Nittany_Lions_football_team';170;11511.33;736.33;10775;12247.66;0.62;0.52;0.25;1.82
Hradec_Králové';University_of_Hradec_Králové';17;1370;194.67;1175.33;1564.67;0.69;0.09;0.43;1.74
Franz_Kafka';Oskar_Baum';57;33718.67;60;33658.67;33778.67;0.19;0.34;0.34;1.67
2011_LSU_vs._Alabama_football_game';Million_Dollar_Band_(marching_band)';11;3962;1167.67;2794.33;5129.67;0.29;0.14;0.16;1.59
Anglo-Chinese_School';William_Fitzjames_Oldham';49;1379;72.33;1306.67;1451.33;0.28;0.1;0.19;1.5
Avro_Vulcan';H2S_(radar)';15;9430;1309.65;8120.35;10739.65;0.44;0.46;0.27;1.48
Quarter_tone';Neutral_interval';36;1385.67;93.67;1292;1479.34;0.31;0.53;0.19;1.48
Shawangunk_Correctional_Facility';David_Berkowitz';169;682.67;46370;45687.33;47052.67;0.28;0.22;0.27;1.45
AACTA_Awards';Australian_Film_Institute';14;1906.67;310.67;1596;2217.34;0.45;0.21;0.17;1.3
Semitone';Neutral_interval';12;5161.58;93.67;5067.91;5255.25;0.27;0.53;0.22;1.29
Son_of_Sam_(song)';David_Berkowitz';34;360.98;46370;46009.02;46730.98;0.37;0.22;0.27;1.12
Goleta_postal_facility_shootings';David_Berkowitz';145;558.67;46370;45811.33;46928.67;0.28;0.75;0.29;1.03
Joe_Paterno';2005_Penn_State_Nittany_Lions_football_team';281;14215.67;736.33;13479.34;14952;0.44;0.1;0.26;0.98
Alan_Blumlein';H2S_(radar)';41;598.67;1309.65;710.98;1908.32;0.34;0.14;0.19;0.95
Pathfinder_(RAF)';H2S_(radar)';86;2852.1;1309.65;1542.45;4161.75;0.5;0.09;0.14;0.95
Bombing_of_Hamburg_in_World_War_II';H2S_(radar)';103;3981.67;1309.65;2672.02;5291.32;0.37;0.07;0.17;0.9
Handley_Page_Halifax';H2S_(radar)';18;7724.21;1309.65;6414.56;9033.86;0.4;0.24;0.26;0.83
Oliver_Cooper';David_Berkowitz';256;2407;46370;43963;48777;0.3;0.45;0.36;0.81
Philadelphia_Mint';Mint-made_errors';37;846.67;2645.33;1798.65;3492;0.37;0.26;0.26;0.72
Arab_tone_system';Neutral_interval';14;391.67;93.67;298;485.343;0.23;0.12;0.1;0.72
Beasley_Broadcast_Group';WRCA';22;725;267.46;457.54;992.46;0.23;0.11;0.09;0.6
John_E._Douglas';David_Berkowitz';390;8726.33;46370;37643.67;55096.33;0.29;0.37;0.28;0.59
Charles_William_Miller';SC_Internacional_(SP)';18;512.67;78.42;434.244;591.08;0.37;0.1;0.11;0.54
Cavity_magnetron';H2S_(radar)';42;4935.67;1309.65;3626.02;6245.32;0.47;0.08;0.15;0.52
Jeffrey_Dahmer';David_Berkowitz';17;131955;46370;85585;178325;0.21;0.57;0.31;0.5
