Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2
'Alexander_the_Great'; 'Alexander_Sarcophagus';744;113391.33;1141.0;112250.33;114532.33;0.51;0.13;0.36;1.1
'Alexander_the_Great'; 'Macedonia';19;113391.33;11426.33;101965.0;124817.66;0.15;0.01;0.47;17.5
'Alexander_the_Great'; 'Chronology_of_the_expedition_of_Alexander_the_Great_into_Asia';214;113391.33;366.0;113025.33;113757.33;0.3;0.01;0.27;2.94
'Alexander_the_Great'; 'Pompey';176;113391.33;38253.72;75137.61;151645.05;0.41;0.36;0.3;0.21
'Alexander_the_Great'; 'Anaximenes_of_Lampsacus';58;113391.33;127.0;113264.33;113518.33;0.36;0.3;0.4;1.54
'Alexander_the_Great'; 'Thasos';14;113391.33;2627.01;110764.32;116018.34;0.35;0.17;0.41;5.63
'Alexander_the_Great'; 'Constantine_the_Great';22;113391.33;33687.33;79704.0;147078.66;0.35;0.56;0.38;0.48
'Alexander_the_Great'; 'Callisthenes';30;113391.33;820.0;112571.33;114211.33;0.44;0.36;0.34;0.54
'Alexander_the_Great'; 'Equestrian_statue';14;113391.33;2480.0;110911.33;115871.33;0.33;0.14;0.54;8.31
'Alexander_the_Great'; 'Greco-Buddhist_monasticism';12;113391.33;174.67;113216.66;113566.0;0.32;0.01;0.41;7.37
'Alexander_the_Great'; 'Philip_III_of_Macedon';2104;113391.33;2379.67;111011.66;115771.0;0.53;0.91;0.25;2.06
'Alexander_the_Great'; 'Jandial';13;113391.33;188.95;113202.38;113580.28;0.31;0.01;0.41;7.42
'Alexander_the_Great'; 'Coenus_(general)';49;113391.33;536.28;112855.05;113927.61;0.34;0.58;0.31;0.54
'Alexander_the_Great'; 'Greco-Buddhist_monasticism';12;113391.33;174.67;113216.66;113566.0;0.32;0.0;0.41;7.37
'Alexander_the_Great'; 'Serapis';13;113391.33;8241.04;105150.29;121632.37;0.28;0.1;0.36;8.5
'Alexander_the_Great'; 'Chronology_of_the_expedition_of_Alexander_the_Great_into_Asia';214;113391.33;366.0;113025.33;113757.33;0.3;0.0;0.27;2.94
'Alexander_the_Great'; 'Coenus_(general)';49;113391.33;536.28;112855.05;113927.61;0.34;0.58;0.31;0.54
'Alexander_the_Great'; 'Olympias';3560;113391.33;11878.07;101513.26;125269.4;0.47;0.35;0.24;0.58
'Alexander_the_Great'; 'Mount_Olympus';67;113391.33;20607.89;92783.44;133999.22;0.36;0.16;0.4;4.16
'Alexander_the_Great'; 'History_of_Syria';10;113391.33;3402.33;109989.0;116793.66;0.41;0.0;0.36;7.94
'Alexander_the_Great'; 'Hetaira';70;113391.33;4306.84;109084.49;117698.17;0.25;0.33;0.48;3.78
'Alexander_the_Great'; 'Equestrian_statue';14;113391.33;2480.0;110911.33;115871.33;0.33;0.14;0.54;8.31
'Alexander_the_Great'; 'Seal_(emblem)';76;113391.33;10472.32;102919.01;123863.65;0.38;0.09;0.57;6.1
'Alexander_the_Great'; 'Magadha';17;113391.33;18493.71;94897.62;131885.04;0.27;0.15;0.39;7.93
'Alexander_the_Great'; 'Pompey';176;113391.33;38253.72;75137.61;151645.05;0.41;0.36;0.3;0.21
'Alexander_the_Great'; 'Nebuchadnezzar_II';1552;113391.33;18293.33;95098.0;131684.66;0.37;0.55;0.35;0.08
'Alexander_the_Great'; 'Arrian';25;113391.33;2946.84;110444.49;116338.17;0.47;0.41;0.25;1.59
'Alexander_the_Great'; 'Perinthus';15;113391.33;156.73;113234.6;113548.06;0.25;0.0;0.43;8.29
'Alexander_the_Great'; 'Constantine_the_Great';22;113391.33;33687.33;79704.0;147078.66;0.35;0.56;0.38;0.48
'Alexander_the_Great'; 'Military_academy';199;113391.33;3975.0;109416.33;117366.33;0.25;0.0;0.65;7.78
