Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;Int_Hum_Eval;ground truth (threshold 0.79);ground truth confidence values
Alexander_the_Great'; 'Equestrian_statue';14;113391.33;2480;110911.33;115871.33;0.33;0.14;0.54;11.65;0;1;0.8
Alexander_the_Great'; 'Philip_III_of_Macedon';2104;113391.33;2379.67;111011.66;115771;0.53;0.91;0.25;2.89;0;1;0.83
Alexander_the_Great'; 'Coenus_(general)';49;113391.33;536.28;112855.05;113927.61;0.34;0.58;0.31;0.91;0;0;0.78
Alexander_the_Great'; 'Serapis';13;113391.33;8241.04;105150.29;121632.37;0.28;0.1;0.36;10.58;1;0;0.78
Alexander_the_Great'; 'Olympias';3560;113391.33;11878.07;101513.26;125269.4;0.47;0.35;0.24;0.7;1;1;0.88
Alexander_the_Great'; 'Mount_Olympus';67;113391.33;20607.89;92783.44;133999.22;0.36;0.16;0.4;4.77;1;1;0.8
Alexander_the_Great'; 'Hetaira';70;113391.33;4306.84;109084.49;117698.17;0.25;0.33;0.48;5.01;1;1;0.82
Alexander_the_Great'; 'Seal_(emblem)';76;113391.33;10472.32;102919.01;123863.65;0.38;0.09;0.57;7.43;0;0;0.68
Alexander_the_Great'; 'Magadha';17;113391.33;18493.71;94897.62;131885.04;0.27;0.15;0.39;9.18;1;1;0.88
Alexander_the_Great'; 'Pompey';176;113391.33;38253.72;75137.61;151645.05;0.41;0.36;0.3;0.23;1;1;0.93
Alexander_the_Great'; 'Nebuchadnezzar_II';1552;113391.33;18293.33;95098;131684.66;0.37;0.55;0.35;0.09;0;1;0.86
Alexander_the_Great'; 'Arrian';25;113391.33;2946.84;110444.49;116338.17;0.47;0.41;0.25;2.18;1;1;0.84
Alexander_the_Great'; 'Constantine_the_Great';22;113391.33;33687.33;79704;147078.66;0.35;0.56;0.38;0.53;0;0;0.79
